k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.44653425099009814,0.907810604693567,0.0,0.907835949527005,0.0
40,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.4700934136091412,0.8945224460333352,0.0,0.8960621563112456,0.0
40,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.46512656312649625,0.8997836768093888,0.0,0.8983748567177213,0.0
40,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.4257637003923387,0.9184181232397148,0.0,0.9176776007947294,0.0
40,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.42960162348939074,0.9168857234202337,0.0,0.9184223089700444,0.0
40,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.45141715682653394,0.9074189965266137,0.0,0.9066104480347127,0.0
40,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.44840049148878014,0.9074057932058572,0.0,0.9074294741656906,0.0
45,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.47192474794167466,0.8939686695922165,0.0,0.8955494402104509,0.0
45,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.4670762885107389,0.8993851033144309,0.0,0.8980855895707963,0.0
45,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.42799414030400784,0.9178107433473004,0.0,0.9171403278580371,0.0
45,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.4325715475050359,0.9160749022776731,0.0,0.9176075109745171,0.0
45,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.45301005061316657,0.9072382527003493,0.0,0.9066837034598221,0.0
45,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4505153549749247,0.906895534246394,0.0,0.9070133144147248,0.0
50,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.47431571506316994,0.892994785264448,0.0,0.89425115726854,0.0
50,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.46943559679999747,0.8986345160583418,0.0,0.8975501650686057,0.0
50,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.429940486119446,0.9174919652347017,0.0,0.9169034564381625,0.0
50,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.4354987490336154,0.9151976591564818,0.0,0.9169289280838745,0.0
50,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4548112720952504,0.9070708011928286,0.0,0.9064064280738932,0.0
50,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4528003638222959,0.9062779453813604,0.0,0.9064080269866152,0.0
55,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.4764348329112582,0.8922851363841643,0.0,0.8933813474197377,0.0
55,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.47045701947139246,0.8985370362790437,0.0,0.8976210804534409,0.0
55,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.4308719361190098,0.9176275901084459,0.0,0.917165178066025,0.0
55,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.4383635306726311,0.9142195084528595,0.0,0.9158729502386723,0.0
55,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4567044837930595,0.9065833608609339,0.0,0.9060178001067801,0.0
55,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4545663605934703,0.9058505264170893,0.0,0.9060116712569313,0.0
60,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.47669174994313873,0.8924911697556134,0.0,0.8936343751543276,0.0
60,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.47260284199649294,0.8978450366041634,0.0,0.8968314715184579,0.0
60,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.43255770414127054,0.9173608675216774,0.0,0.9169927837203289,0.0
60,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.4401573644377408,0.9136588663093131,0.0,0.9150968358794273,0.0
60,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.45845899757152825,0.9061806701937655,0.0,0.9058669988639846,0.0
60,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.45609373161803424,0.9055073220769065,0.0,0.9056844930273054,0.0
65,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.47792500589643694,0.8922223011906054,0.0,0.8935161870765513,0.0
65,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.4740553355608035,0.8974803246741754,0.0,0.8965769629518935,0.0
65,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.43402986448373404,0.9171548318232132,0.0,0.916774940822888,0.0
65,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.4427387507190249,0.9129053047175343,0.0,0.9145687417689555,0.0
65,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4605974947299102,0.9056144196522721,0.0,0.9056760477067047,0.0
65,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4578692902779819,0.9050754364115601,0.0,0.9054225760653987,0.0
70,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.4794024714315125,0.8917501289736837,0.0,0.8929542725508228,0.0
70,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.47708111770929057,0.8963257136820744,0.0,0.8956437945337901,0.0
70,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.4358409298081006,0.9165995884125206,0.0,0.9160293011166604,0.0
70,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.444835168635806,0.9123656694092441,0.0,0.9141005792446223,0.0
70,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4636561983888289,0.9046110567820282,0.0,0.9046659375685321,0.0
