bins,k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
40,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4464,0.9084,0,0.9083,0
40,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4512,0.9048,0,0.9066,0
40,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4449,0.9087,0,0.9088,0
45,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4525,0.9043,0,0.9035,0
45,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.428,0.9166,0,0.9145,0
45,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.4741,0.8954,0,0.8967,0
45,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4325,0.9147,0,0.9151,0
45,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4498,0.9064,0,0.9059,0
45,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4474,0.9075,0,0.9072,0
50,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4654,0.8998,0,0.9007,0
50,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.4275,0.9154,0,0.9139,0
50,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.4496,0.9058,0,0.9065,0
50,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4667,0.8999,0,0.9005,0
50,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4293,0.9172,0,0.9145,0
50,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4477,0.9076,0,0.9072,0
55,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4087,0.9249,0,0.9224,0
55,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.4587,0.902,0,0.904,0
55,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.4572,0.9028,0,0.9036,0
55,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4459,0.9079,0,0.9075,0
55,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4539,0.9046,0,0.9048,0
55,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4449,0.9084,0,0.9085,0
60,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4373,0.9137,0,0.9145,0
60,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.4334,0.9138,0,0.9121,0
60,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.4416,0.9096,0,0.911,0
60,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4485,0.9075,0,0.9062,0
60,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4655,0.898,0,0.8976,0
60,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4453,0.9085,0,0.9083,0
65,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4496,0.9062,0,0.9056,0
65,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.4488,0.9067,0,0.9064,0
65,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.454,0.905,0,0.9059,0
65,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4597,0.9015,0,0.9012,0
65,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4293,0.9165,0,0.9155,0
65,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4483,0.9072,0,0.9069,0
